"","Dist","Prop","PMean","PMedian","Pdiff","GMean","GMedian","Gdiff","n"
"3814","Cayley",0.0733333333333333,0.14895040525835,0.164303042123361,-0.015352636865011,0.137136877040891,0.151457914497587,-0.014321037456696,300
"3815","Cayley",0.0666666666666667,0.0876780698073549,0.151117904952697,-0.0634398351453421,0.0833206143710483,0.110128492400183,-0.0268078780291347,300
"3816","Cayley",0.07,0.15204655983464,0.16477730347562,-0.01273074364098,0.14183189367029,0.154431658348112,-0.012599764677822,300
"3817","Cayley",0.0733333333333333,0.0293369732618653,0.0639232691628061,-0.0345862959009408,0.0363668576475759,0.035091910824445,0.0012749468231309,300
"3818","Cayley",0.0466666666666667,0.0714305976929469,0.10921343052441,-0.0377828328314631,0.0549945073035511,0.0785324994523283,-0.0235379921487772,300
"3819","Cayley",0.0866666666666667,0.0743147172761744,0.0777282979321244,-0.00341358065594999,0.0703342037291337,0.0739421813152157,-0.003607977586082,300
"3820","Cayley",0.0666666666666667,0.0406488309059808,0.0519321481877519,-0.0112833172817711,0.0261790416327887,0.0391663249121264,-0.0129872832793377,300
"3821","Cayley",0.06,0.0413305758184938,0.070276707491464,-0.0289461316729702,0.0218002544692348,0.0480856702606788,-0.026285415791444,300
"3822","Cayley",0.0666666666666667,0.0755192194132297,0.0983871115046959,-0.0228678920914662,0.0600418047888391,0.0838204167804499,-0.0237786119916108,300
"3823","Cayley",0.0866666666666667,0.0437868006662872,0.0228079666768884,0.0209788339893988,0.0626892823099967,0.0365363828628835,0.0261528994471132,300
"3824","Cayley",0.0633333333333333,0.0948475929359546,0.127790088733415,-0.0329424957974604,0.0674063786907944,0.104899528132039,-0.0374931494412446,300
"3825","Cayley",0.07,0.141462273239134,0.217277822363338,-0.075815549124204,0.093425231779942,0.157005477477277,-0.063580245697335,300
"3826","Cayley",0.0433333333333333,0.122496337399468,0.150281183509115,-0.027784846109647,0.120444324222392,0.140013302284959,-0.019568978062567,300
"3827","Cayley",0.03,0.0358697981462516,0.0643789920793333,-0.0285091939330817,0.0554578966095669,0.0214955065028515,0.0339623901067154,300
"3828","Cayley",0.07,0.0840641312241322,0.0722032108478567,0.0118609203762755,0.0983428374754172,0.0776469459781232,0.020695891497294,300
"3829","Cayley",0.0533333333333333,0.125226234822561,0.162594135732473,-0.037367900909912,0.109544492096085,0.13582398947546,-0.026279497379375,300
"3830","Cayley",0.0533333333333333,0.0405860083604501,0.059994401374302,-0.0194083930138519,0.0316844895301927,0.0447922377694636,-0.0131077482392709,300
"3831","Cayley",0.05,0.0641076323138028,0.088867968920903,-0.0247603366071002,0.0500636612915577,0.0673285772052667,-0.017264915913709,300
